ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-04-12,22852.708407172067,21732.096905424434,23215.609699230223,22852.708407172067,22852.708407172067,-395.440123726003,-395.440123726003,-395.440123726003,119.50192119435673,119.50192119435673,119.50192119435673,-514.9420449203596,-514.9420449203596,-514.9420449203596,0.0,0.0,0.0,22457.268283446065
2024-04-15,22864.54367296497,21812.83417697196,23209.385270545947,22864.54367296497,22864.54367296497,-351.0114196475116,-351.0114196475116,-351.0114196475116,128.19211995654436,128.19211995654436,128.19211995654436,-479.20353960405595,-479.20353960405595,-479.20353960405595,0.0,0.0,0.0,22513.53225331746
2024-04-16,22868.488761562607,21831.183121313843,23181.667878899672,22868.488761562607,22868.488761562607,-338.0860164755775,-338.0860164755775,-338.0860164755775,131.19089596838668,131.19089596838668,131.19089596838668,-469.2769124439642,-469.2769124439642,-469.2769124439642,0.0,0.0,0.0,22530.40274508703
2024-04-18,22876.37893875787,21845.407425870726,23301.534030624145,22876.37893875787,22876.37893875787,-320.69807548522294,-320.69807548522294,-320.69807548522294,132.16746761315187,132.16746761315187,132.16746761315187,-452.8655430983748,-452.8655430983748,-452.8655430983748,0.0,0.0,0.0,22555.680863272646
2024-04-19,22880.324027355506,21833.009816507245,23288.98791924054,22880.324027355506,22880.324027355506,-326.9878955776144,-326.9878955776144,-326.9878955776144,119.50192119575762,119.50192119575762,119.50192119575762,-446.48981677337196,-446.48981677337196,-446.48981677337196,0.0,0.0,0.0,22553.33613177789
2024-04-22,22892.15929314841,21850.43203834858,23278.429189176168,22892.15929314841,22892.15929314841,-306.7918840655016,-306.7918840655016,-306.7918840655016,128.19211995621853,128.19211995621853,128.19211995621853,-434.9840040217202,-434.9840040217202,-434.9840040217202,0.0,0.0,0.0,22585.367409082908
2024-04-23,22896.10438174604,21847.43297818312,23330.319071246056,22896.10438174604,22896.10438174604,-302.4688311443115,-302.4688311443115,-302.4688311443115,131.19089596877788,131.19089596877788,131.19089596877788,-433.6597271130894,-433.6597271130894,-433.6597271130894,0.0,0.0,0.0,22593.635550601728
2024-04-24,22900.04947034367,21891.64043486137,23327.172190067406,22900.04947034367,22900.04947034367,-303.1143482664783,-303.1143482664783,-303.1143482664783,130.4085106656868,130.4085106656868,130.4085106656868,-433.52285893216515,-433.52285893216515,-433.52285893216515,0.0,0.0,0.0,22596.935122077193
2024-04-25,22903.994558941307,21919.613106252134,23366.32573640729,22903.994558941307,22903.994558941307,-302.3317148495416,-302.3317148495416,-302.3317148495416,132.16746761317182,132.16746761317182,132.16746761317182,-434.4991824627134,-434.4991824627134,-434.4991824627134,0.0,0.0,0.0,22601.662844091767
2024-04-26,22907.939647538944,21856.417904643724,23315.6045933808,22907.939647538944,22907.939647538944,-316.99026298488496,-316.99026298488496,-316.99026298488496,119.50192119542822,119.50192119542822,119.50192119542822,-436.49218418031313,-436.49218418031313,-436.49218418031313,0.0,0.0,0.0,22590.94938455406
2024-04-29,22919.774913331843,21854.739382668515,23249.33692488561,22919.774913331843,22919.774913331843,-319.0965389254437,-319.0965389254437,-319.0965389254437,128.1921199562348,128.1921199562348,128.1921199562348,-447.28865888167854,-447.28865888167854,-447.28865888167854,0.0,0.0,0.0,22600.678374406398
2024-04-30,22923.720001929476,21906.666597299693,23315.63049537897,22923.720001929476,22923.720001929476,-320.77967762158784,-320.77967762158784,-320.77967762158784,131.19089596914864,131.19089596914864,131.19089596914864,-451.9705735907365,-451.9705735907365,-451.9705735907365,0.0,0.0,0.0,22602.94032430789
2024-05-02,22931.610179124746,21868.713533985378,23321.561232763223,22931.610179124746,22931.610179124746,-329.6892575147846,-329.6892575147846,-329.6892575147846,132.16746761283724,132.16746761283724,132.16746761283724,-461.8567251276218,-461.8567251276218,-461.8567251276218,0.0,0.0,0.0,22601.920921609963
2024-05-03,22935.55526772238,21845.545244948647,23312.099968176703,22935.55526772238,22935.55526772238,-347.1546169952636,-347.1546169952636,-347.1546169952636,119.5019211951504,119.5019211951504,119.5019211951504,-466.656538190414,-466.656538190414,-466.656538190414,0.0,0.0,0.0,22588.400650727115
2024-05-06,22947.390533515278,21856.10406534722,23325.140844562517,22947.390533515278,22947.390533515278,-349.79746359194496,-349.79746359194496,-349.79746359194496,128.19211995590896,128.19211995590896,128.19211995590896,-477.98958354785395,-477.98958354785395,-477.98958354785395,0.0,0.0,0.0,22597.593069923332
2024-05-07,22951.335622112914,21902.07598686316,23354.82674200331,22951.335622112914,22951.335622112914,-348.8817528816838,-348.8817528816838,-348.8817528816838,131.1908959695399,131.1908959695399,131.1908959695399,-480.0726488512237,-480.0726488512237,-480.0726488512237,0.0,0.0,0.0,22602.45386923123
2024-05-08,22955.280710710547,21928.371562945198,23376.257999384867,22955.280710710547,22955.280710710547,-350.58935080677486,-350.58935080677486,-350.58935080677486,130.40851066604841,130.40851066604841,130.40851066604841,-480.9978614728233,-480.9978614728233,-480.9978614728233,0.0,0.0,0.0,22604.691359903773
2024-05-09,22959.22579930818,21848.576428305638,23366.668446710606,22959.22579930818,22959.22579930818,-348.43561050912746,-348.43561050912746,-348.43561050912746,132.1674676131278,132.1674676131278,132.1674676131278,-480.6030781222552,-480.6030781222552,-480.6030781222552,0.0,0.0,0.0,22610.790188799052
2024-05-10,22963.170887905817,21923.87766925014,23346.889352343194,22963.170887905817,22963.170887905817,-359.2457931716481,-359.2457931716481,-359.2457931716481,119.50192119482101,119.50192119482101,119.50192119482101,-478.7477143664691,-478.7477143664691,-478.7477143664691,0.0,0.0,0.0,22603.925094734168
2024-05-13,22975.006153698716,21935.53538587704,23392.397217943617,22975.006153698716,22975.006153698716,-335.2117907735398,-335.2117907735398,-335.2117907735398,128.19211995687198,128.19211995687198,128.19211995687198,-463.4039107304117,-463.4039107304117,-463.4039107304117,0.0,0.0,0.0,22639.794362925175
2024-05-14,22978.95124229635,21964.237452942678,23370.453667520473,22978.95124229635,22978.95124229635,-323.64946490427434,-323.64946490427434,-323.64946490427434,131.1908959686193,131.1908959686193,131.1908959686193,-454.84036087289365,-454.84036087289365,-454.84036087289365,0.0,0.0,0.0,22655.301777392073
2024-05-15,22982.896330893982,21951.62338774768,23380.601138368434,22982.896330893982,22982.896330893982,-314.12914954862504,-314.12914954862504,-314.12914954862504,130.40851066569178,130.40851066569178,130.40851066569178,-444.5376602143168,-444.5376602143168,-444.5376602143168,0.0,0.0,0.0,22668.767181345356
