ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-06-05,24505.70052958063,23811.88061176097,25259.442049433477,24505.70052958063,24505.70052958063,40.651746116451356,40.651746116451356,40.651746116451356,132.16746761293953,132.16746761293953,132.16746761293953,-91.5157214964882,-91.5157214964882,-91.5157214964882,0.0,0.0,0.0,24546.35227569708
2025-06-06,24509.645618178267,23832.80931601492,25260.3729738987,24509.645618178267,24509.645618178267,37.20988416666466,37.20988416666466,37.20988416666466,119.50192119452792,119.50192119452792,119.50192119452792,-82.29203702786327,-82.29203702786327,-82.29203702786327,0.0,0.0,0.0,24546.85550234493
2025-06-09,24521.48088397117,23848.840883661618,25293.357827136875,24521.48088397117,24521.48088397117,65.94766837529806,65.94766837529806,65.94766837529806,128.19211995622427,128.19211995622427,128.19211995622427,-62.24445158092619,-62.24445158092619,-62.24445158092619,0.0,0.0,0.0,24587.428552346468
2025-06-10,24525.425972568803,23862.556531160415,25291.177683645208,24525.425972568803,24525.425972568803,73.48869862541893,73.48869862541893,73.48869862541893,131.19089596867784,131.19089596867784,131.19089596867784,-57.702197343258916,-57.702197343258916,-57.702197343258916,0.0,0.0,0.0,24598.914671194223
2025-06-11,24529.371061166436,23824.982825789215,25324.876874847076,24529.371061166436,24529.371061166436,76.44102783444563,76.44102783444563,76.44102783444563,130.40851066582593,130.40851066582593,130.40851066582593,-53.96748283138028,-53.96748283138028,-53.96748283138028,0.0,0.0,0.0,24605.81208900088
2025-06-12,24533.316149764072,23889.860462431498,25326.5908097269,24533.316149764072,24533.316149764072,81.31340023969877,81.31340023969877,81.31340023969877,132.1674676132301,132.1674676132301,132.1674676132301,-50.85406737353132,-50.85406737353132,-50.85406737353132,0.0,0.0,0.0,24614.62955000377
2025-06-13,24537.261238361705,23945.729012186224,25324.557012264904,24537.261238361705,24537.261238361705,71.33870629203513,71.33870629203513,71.33870629203513,119.50192119422432,119.50192119422432,119.50192119422432,-48.16321490218921,-48.16321490218921,-48.16321490218921,0.0,0.0,0.0,24608.59994465374
2025-06-16,24549.096504154604,23905.153874208616,25319.772264759056,24549.096504154604,24549.096504154604,87.63158670161945,87.63158670161945,87.63158670161945,128.19211995624048,128.19211995624048,128.19211995624048,-40.560533254621035,-40.560533254621035,-40.560533254621035,0.0,0.0,0.0,24636.728090856224
2025-06-17,24553.04159275224,23894.53252458155,25382.662050408904,24553.04159275224,24553.04159275224,93.6853842959245,93.6853842959245,93.6853842959245,131.19089596906906,131.19089596906906,131.19089596906906,-37.505511673144575,-37.505511673144575,-37.505511673144575,0.0,0.0,0.0,24646.726977048165
2025-06-18,24556.986681349874,23961.06279667796,25359.0828147548,24556.986681349874,24556.986681349874,96.53348573488312,96.53348573488312,96.53348573488312,130.40851066546924,130.40851066546924,130.40851066546924,-33.87502493058613,-33.87502493058613,-33.87502493058613,0.0,0.0,0.0,24653.520167084756
